ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,ip_proto,label
1769849967.475839,CjxXFg2wDjXD0XAmEc,192.168.10.2,8,8.8.8.8,0,icmp,0,331.045845,2016,2016,OTH,T,F,0,0,36,3024,36,3024,0,1,0
1769354188.988919,CXZ0oP3gVYePMS1TAi,192.168.10.2,33467,8.8.8.8,53,udp,dns,0.000002,78,0,S0,T,F,0,D,2,134,0,0,0,17,1
1769354193.995897,Cxs8wm2Awn8OXR9Gxc,192.168.10.2,44282,8.8.8.8,53,udp,dns,5.006125,156,0,S0,T,F,0,D,4,268,0,0,0,17,1
1769354204.010514,ClbaGb1V8otBG02Xyi,192.168.10.2,34583,8.8.8.8,53,udp,dns,5.002291,156,0,S0,T,F,0,D,4,268,0,0,0,17,1
1769354214.019316,CRNpTz12xN4FZNvFLi,192.168.10.2,46242,8.8.8.8,53,udp,dns,5.005887,156,0,S0,T,F,0,D,4,268,0,0,0,17,1
1769354224.034266,CmsqNs12JxgKxjKwuj,192.168.10.2,46888,8.8.8.8,53,udp,dns,5.008009,156,0,S0,T,F,0,D,4,268,0,0,0,17,1
1769354234.044621,C7Hid21iV3o6yuDere,192.168.10.2,35440,8.8.8.8,53,udp,dns,5.008720,156,0,S0,T,F,0,D,4,268,0,0,0,17,1
1769354244.059725,CDLJIo2vAOu7gGt2yl,192.168.10.2,54685,8.8.8.8,53,udp,dns,5.006696,156,0,S0,T,F,0,D,4,268,0,0,0,17,1
1769354254.073276,CRj7Yo1IjPW7KKavld,192.168.10.2,48291,8.8.8.8,53,udp,dns,5.005386,156,0,S0,T,F,0,D,4,268,0,0,0,17,1
1769354264.084778,CAIpSs2epe69MWNW52,192.168.10.2,54373,8.8.8.8,53,udp,dns,5.006049,156,0,S0,T,F,0,D,4,268,0,0,0,17,1
1769354274.096394,CCHGNy4LjN8ROByWi,192.168.10.2,42883,8.8.8.8,53,udp,dns,5.006946,156,0,S0,T,F,0,D,4,268,0,0,0,17,1
1769354284.109952,CMoCrb14ix1clMr1Z8,192.168.10.2,59035,8.8.8.8,53,udp,dns,5.004872,156,0,S0,T,F,0,D,4,268,0,0,0,17,1
1769354294.122196,Cr4XTl4w36mSNnCQ53,192.168.10.2,33856,8.8.8.8,53,udp,dns,5.005442,156,0,S0,T,F,0,D,4,268,0,0,0,17,1
1769354304.134218,C7ln8g2cyjpz0EDq2,192.168.10.2,45538,8.8.8.8,53,udp,dns,5.005312,156,0,S0,T,F,0,D,4,268,0,0,0,17,1
1769354314.145034,CU1CzP102dpwy0BkG2,192.168.10.2,58465,8.8.8.8,53,udp,dns,5.009548,156,0,S0,T,F,0,D,4,268,0,0,0,17,1
